word,chunk,meaning,scene,status,mastery
approval,get approval,获得批准,project_management,new,0
approval,ask for approval,请求批准,project_management,new,0
approval,need approval from management,需要管理层批准,project_management,new,0
approval,wait for final approval,等待最终批准,project_management,new,0
approval,without approval,未经批准,project_management,new,0
approval,approval process,审批流程,project_management,new,0
approve,must be approved,必须被批准,project_management,new,0
approve,approve the proposal,批准提案,project_management,new,0
approve,approve the extra cost,批准额外成本,cost_control,new,0
confirm,confirm the details,确认细节,communication,new,0
confirm,confirm the shipment status,确认发货状态,shipping,new,0
confirm,confirm the delivery date,确认交付日期,shipping,new,0
confirm,confirm with the supplier,跟供应商确认,supplier_crisis,new,0
confirmation,send confirmation to the supplier,给供应商发送确认,supplier_crisis,new,0
confirmation,wait for confirmation,等待确认,supplier_crisis,new,0
confirmation,order confirmation,订单确认,supplier_crisis,new,0
supplier,contact the supplier,联系供应商,supplier_crisis,new,0
supplier,follow up with the supplier,跟进供应商,supplier_crisis,new,0
supplier,alternative supplier,替代供应商,supplier_crisis,new,0
supplier,find an alternative supplier,寻找替代供应商,supplier_crisis,new,0
supplier,supplier performance,供应商表现,supplier_management,new,0
supplier,supplier issue,供应商问题,supplier_crisis,new,0
shipment,arrange shipment,安排发货,shipping,new,0
shipment,urgent shipment,紧急发货,shipping,new,0
shipment,postpone the shipment,推迟发货,shipping,new,0
shipment,track the shipment,追踪货物,shipping,new,0
shipment,shipment delay,发货延迟,shipping,new,0
shipment,shipment schedule,发货计划,shipping,new,0
deadline,meet the deadline,赶上截止日期,project_delay,new,0
deadline,miss the deadline,错过截止日期,project_delay,new,0
deadline,before the deadline,截止日期之前,project_delay,new,0
deadline,extend the deadline,延长截止日期,project_delay,new,0
deadline,tight deadline,紧张的截止日期,project_delay,new,0
delay,avoid further delay,避免进一步延误,project_delay,new,0
delay,cause a delay,造成延误,project_delay,new,0
delay,delay the project,延误项目,project_delay,new,0
delay,delay the shipment,延误发货,shipping,new,0
delay,without delay,立即/毫不拖延,project_delay,new,0
alternative,alternative plan,替代方案,project_management,new,0
alternative,alternative solution,替代解决方案,project_management,new,0
alternative,find an alternative,寻找替代方案,project_management,new,0
compromise,reach a compromise,达成妥协,negotiation,new,0
compromise,as a compromise,作为妥协方案,negotiation,new,0
compromise,find a compromise,找到折中方案,negotiation,new,0
compromise,compromise on the delivery date,在交付日期上妥协,negotiation,new,0
negotiation,urgent negotiation,紧急谈判,negotiation,new,0
negotiation,start the negotiation,开始谈判,negotiation,new,0
negotiation,continue the negotiation,继续谈判,negotiation,new,0
negotiation,the negotiation may lead to nothing,谈判可能没有结果,negotiation,new,0
responsibility,take responsibility,承担责任,client_escalation,new,0
responsibility,take responsibility for the delay,为延误承担责任,client_escalation,new,0
responsibility,accept responsibility,接受责任,client_escalation,new,0
responsibility,share responsibility,分担责任,client_escalation,new,0
responsibility,the responsibility is not on our side,责任不在我们这边,client_escalation,new,0
pressure,under pressure,处于压力之下,team_management,new,0
pressure,deal with pressure,处理压力,team_management,new,0
pressure,work well under pressure,能在压力下工作,team_management,new,0
pressure,put pressure on the team,给团队施加压力,team_management,new,0
pressure,reduce the pressure,减轻压力,team_management,new,0
compensation,offer compensation,提供补偿,client_escalation,new,0
compensation,as compensation,作为补偿,client_escalation,new,0
compensation,ask for compensation,要求补偿,client_escalation,new,0
compensation,reasonable compensation,合理补偿,client_escalation,new,0
dissatisfied,be dissatisfied with the explanation,对解释不满意,client_escalation,new,0
dissatisfied,the client is dissatisfied,客户不满意,client_escalation,new,0
dissatisfied,dissatisfied with the delay,对延误不满意,client_escalation,new,0
recovery plan,create a recovery plan,制定恢复计划,client_escalation,new,0
recovery plan,detailed recovery plan,详细恢复计划,client_escalation,new,0
recovery plan,submit a recovery plan,提交恢复计划,client_escalation,new,0
extension,accept a short extension,接受短期延期,negotiation,new,0
extension,ask for an extension,请求延期,negotiation,new,0
extension,grant an extension,批准延期,negotiation,new,0
guarantee,guarantee there will be no further delay,保证不会再延误,negotiation,new,0
guarantee,guarantee delivery by Friday,保证周五前交付,shipping,new,0
guarantee,cannot guarantee the result,不能保证结果,risk_management,new,0
risk,identify the risk,识别风险,risk_management,new,0
risk,reduce the risk,降低风险,risk_management,new,0
risk,manage the risk,管理风险,risk_management,new,0
risk,high risk,高风险,risk_management,new,0
risk,risk assessment,风险评估,risk_management,new,0
risk,risk level,风险等级,risk_management,new,0
risk,risk control,风险控制,risk_management,new,0
risk,risk of delay,延误风险,risk_management,new,0
issue,raise the issue,提出问题,problem_solving,new,0
issue,solve the issue,解决问题,problem_solving,new,0
issue,technical issue,技术问题,problem_solving,new,0
issue,quality issue,质量问题,problem_solving,new,0
issue,serious issue,严重问题,problem_solving,new,0
issue,issue a warning,发出警告,problem_solving,new,0
issue,deal with the issue,处理问题,problem_solving,new,0
issue,report the issue,汇报问题,problem_solving,new,0
problem,solve the problem,解决问题,problem_solving,new,0
problem,identify the problem,识别问题,problem_solving,new,0
problem,serious problem,严重问题,problem_solving,new,0
problem,production problem,生产问题,problem_solving,new,0
problem,quality problem,质量问题,problem_solving,new,0
problem,communication problem,沟通问题,problem_solving,new,0
problem,root problem,根本问题,problem_solving,new,0
problem,avoid the same problem,避免同样问题,problem_solving,new,0
solution,find a solution,找到解决方案,problem_solving,new,0
solution,propose a solution,提出解决方案,problem_solving,new,0
solution,temporary solution,临时方案,problem_solving,new,0
solution,long-term solution,长期方案,problem_solving,new,0
solution,practical solution,实际可行的方案,problem_solving,new,0
solution,solution to the problem,问题的解决方案,problem_solving,new,0
solution,better solution,更好的方案,problem_solving,new,0
plan,make a plan,制定计划,project_management,new,0
plan,action plan,行动计划,project_management,new,0
plan,backup plan,备用计划,project_management,new,0
plan,recovery plan,恢复计划,project_management,new,0
plan,detailed plan,详细计划,project_management,new,0
plan,clear plan,清晰计划,project_management,new,0
plan,update the plan,更新计划,project_management,new,0
plan,follow the plan,执行计划,project_management,new,0
action,take action,采取行动,project_management,new,0
action,immediate action,立即行动,project_management,new,0
action,corrective action,纠正措施,project_management,new,0
action,action item,行动事项,project_management,new,0
action,take urgent action,采取紧急行动,project_management,new,0
action,avoid unnecessary action,避免不必要行动,project_management,new,0
action,action required,需要采取行动,project_management,new,0
decision,make a decision,做决定,project_management,new,0
decision,quick decision,快速决定,project_management,new,0
decision,final decision,最终决定,project_management,new,0
decision,difficult decision,困难决定,project_management,new,0
decision,decision-making process,决策流程,project_management,new,0
decision,support the decision,支持决定,project_management,new,0
decision,delay the decision,推迟决定,project_management,new,0
decision,decision under pressure,压力下的决定,project_management,new,0
result,achieve the result,取得结果,project_management,new,0
result,expected result,预期结果,project_management,new,0
result,final result,最终结果,project_management,new,0
result,poor result,糟糕结果,project_management,new,0
result,result from the delay,由延误导致,project_management,new,0
result,result in extra cost,导致额外成本,project_management,new,0
result,improve the result,改善结果,project_management,new,0
result,measure the result,衡量结果,project_management,new,0
quality,quality control,质量控制,quality_check,new,0
quality,quality inspection,质量检查,quality_check,new,0
quality,meet the quality standard,达到质量标准,quality_check,new,0
quality,improve quality,提高质量,quality_check,new,0
quality,poor quality,质量差,quality_check,new,0
quality,quality risk,质量风险,quality_check,new,0
quality,quality requirement,质量要求,quality_check,new,0
inspection,run an inspection,进行检查,quality_check,new,0
inspection,run another inspection,再做一次检查,quality_check,new,0
inspection,final inspection,最终检查,quality_check,new,0
inspection,inspection report,检查报告,quality_check,new,0
inspection,pass the inspection,通过检查,quality_check,new,0
inspection,fail the inspection,未通过检查,quality_check,new,0
inspection,inspection result,检查结果,quality_check,new,0
specification,verify the material specifications,确认材料规格,quality_check,new,0
specification,meet the specifications,符合规格,quality_check,new,0
specification,technical specifications,技术规格,quality_check,new,0
specification,change the specifications,更改规格,quality_check,new,0
specification,check the specifications,检查规格,quality_check,new,0
specification,specification problem,规格问题,quality_check,new,0
specification,according to the specifications,根据规格,quality_check,new,0
specification,confirm the specifications,确认规格,quality_check,new,0
material,raw material,原材料,quality_check,new,0
material,alternative material,替代材料,quality_check,new,0
material,material shortage,材料短缺,quality_check,new,0
material,material compatibility,材料兼容性,quality_check,new,0
material,material specifications,材料规格,quality_check,new,0
material,material quality,材料质量,quality_check,new,0
material,verify the material,确认材料,quality_check,new,0
material,material approval,材料批准,quality_check,new,0
production,production line,生产线,factory_issue,new,0
production,production issue,生产问题,factory_issue,new,0
production,delay production,延误生产,factory_issue,new,0
production,resume production,恢复生产,factory_issue,new,0
production,increase production,增加生产,factory_issue,new,0
production,production capacity,产能,factory_issue,new,0
production,production schedule,生产计划,factory_issue,new,0
production,production risk,生产风险,factory_issue,new,0
factory,factory issue,工厂问题,factory_issue,new,0
factory,factory inspection,工厂检查,factory_issue,new,0
factory,factory capacity,工厂产能,factory_issue,new,0
factory,factory shutdown,工厂停工,factory_issue,new,0
factory,factory schedule,工厂计划,factory_issue,new,0
factory,factory team,工厂团队,factory_issue,new,0
factory,factory manager,工厂经理,factory_issue,new,0
factory,factory problem,工厂问题,factory_issue,new,0
client,restore client confidence,恢复客户信心,client_escalation,new,0
client,client request,客户要求,client_escalation,new,0
client,client complaint,客户投诉,client_escalation,new,0
client,client meeting,客户会议,client_escalation,new,0
client,client expectation,客户期望,client_escalation,new,0
client,client satisfaction,客户满意度,client_escalation,new,0
client,client dissatisfaction,客户不满,client_escalation,new,0
client,communicate with the client,和客户沟通,client_escalation,new,0
customer,customer complaint,客户投诉,client_escalation,new,0
customer,customer requirement,客户要求,client_escalation,new,0
customer,customer satisfaction,客户满意度,client_escalation,new,0
customer,customer feedback,客户反馈,client_escalation,new,0
customer,customer relationship,客户关系,client_escalation,new,0
customer,customer service,客户服务,client_escalation,new,0
customer,support the customer,支持客户,client_escalation,new,0
customer,customer confidence,客户信心,client_escalation,new,0
confidence,restore confidence,恢复信心,team_management,new,0
confidence,lose confidence,失去信心,team_management,new,0
confidence,build confidence,建立信心,team_management,new,0
confidence,client confidence,客户信心,team_management,new,0
confidence,team confidence,团队信心,team_management,new,0
confidence,confidence in the plan,对计划的信心,team_management,new,0
confidence,lack of confidence,缺乏信心,team_management,new,0
confidence,maintain confidence,保持信心,team_management,new,0
trust,restore trust,恢复信任,team_management,new,0
trust,lose trust,失去信任,team_management,new,0
trust,build trust,建立信任,team_management,new,0
trust,trust the process,相信流程,team_management,new,0
trust,client trust,客户信任,team_management,new,0
trust,earn trust,赢得信任,team_management,new,0
trust,damage trust,损害信任,team_management,new,0
trust,trust each other,互相信任,team_management,new,0
communication,clear communication,清晰沟通,communication,new,0
communication,improve communication,改善沟通,communication,new,0
communication,communication issue,沟通问题,communication,new,0
communication,communication gap,沟通差距,communication,new,0
communication,internal communication,内部沟通,communication,new,0
communication,client communication,客户沟通,communication,new,0
